time,dev_eui,temperature
2023-05-29 11:04:08.748+00,647fda000000aa92,24.7
2023-05-29 11:19:08.746+00,647fda000000aa92,24.7
2023-05-29 11:49:08.752+00,647fda000000aa92,24.9
2023-05-29 12:04:08.75+00,647fda000000aa92,24.9
2023-05-29 12:19:08.749+00,647fda000000aa92,24.9
2023-05-29 12:34:08.742+00,647fda000000aa92,24.9
2023-05-29 12:49:08.741+00,647fda000000aa92,24.9
2023-05-29 13:04:11.746+00,647fda000000aa92,25.0
2023-05-29 13:19:08.743+00,647fda000000aa92,24.9
2023-05-29 13:34:08.737+00,647fda000000aa92,24.9
2023-05-29 13:49:08.735+00,647fda000000aa92,25.0
2023-05-29 14:04:11.741+00,647fda000000aa92,24.9
2023-05-29 14:19:08.733+00,647fda000000aa92,24.9
2023-05-29 14:34:08.732+00,647fda000000aa92,24.9
2023-05-29 14:49:11.736+00,647fda000000aa92,24.9
2023-05-29 15:04:08.73+00,647fda000000aa92,24.9
2023-05-29 15:19:08.728+00,647fda000000aa92,24.9
2023-05-29 15:34:08.727+00,647fda000000aa92,24.9
2023-05-29 15:49:08.726+00,647fda000000aa92,24.9
2023-05-29 16:04:08.725+00,647fda000000aa92,25.0
2023-05-29 16:19:08.723+00,647fda000000aa92,24.9
2023-05-29 16:34:08.722+00,647fda000000aa92,24.9
2023-05-29 16:49:08.726+00,647fda000000aa92,24.9
2023-05-29 17:19:08.719+00,647fda000000aa92,24.9
2023-05-29 17:34:08.718+00,647fda000000aa92,24.9
2023-05-29 17:49:08.717+00,647fda000000aa92,24.8
2023-05-29 18:04:08.716+00,647fda000000aa92,24.8
2023-05-29 18:19:08.714+00,647fda000000aa92,24.8
2023-05-29 18:34:08.712+00,647fda000000aa92,24.8
2023-05-29 18:49:08.712+00,647fda000000aa92,24.8
2023-05-29 19:34:08.709+00,647fda000000aa92,24.7
2023-05-24 10:19:09.159+00,647fda000000aa92,23.4
2023-05-24 10:34:09.164+00,647fda000000aa92,23.4
2023-05-24 10:49:09.159+00,647fda000000aa92,23.5
2023-05-24 11:04:09.157+00,647fda000000aa92,23.5
2023-05-24 11:19:09.156+00,647fda000000aa92,23.5
2023-05-24 11:34:09.156+00,647fda000000aa92,23.6
2023-05-24 11:49:09.162+00,647fda000000aa92,23.6
2023-05-24 12:04:09.16+00,647fda000000aa92,23.7
2023-05-24 12:19:09.154+00,647fda000000aa92,23.7
2023-05-24 12:34:12.159+00,647fda000000aa92,23.7
2023-05-24 12:49:09.151+00,647fda000000aa92,23.7
2023-05-24 13:04:09.152+00,647fda000000aa92,23.8
2023-05-24 13:19:09.152+00,647fda000000aa92,23.8
2023-05-24 13:34:09.152+00,647fda000000aa92,23.8
2023-05-24 13:49:09.149+00,647fda000000aa92,23.8
2023-05-24 14:04:09.148+00,647fda000000aa92,23.8
2023-05-24 14:19:09.147+00,647fda000000aa92,23.8
2023-05-24 14:34:09.146+00,647fda000000aa92,23.8
2023-05-24 14:49:09.145+00,647fda000000aa92,23.8
2023-05-24 15:04:09.144+00,647fda000000aa92,23.8
2023-05-24 15:19:12.156+00,647fda000000aa92,23.8
2023-05-24 15:34:09.148+00,647fda000000aa92,23.8
2023-05-24 15:49:09.142+00,647fda000000aa92,23.8
2023-05-24 16:04:09.141+00,647fda000000aa92,23.8
2023-05-24 16:19:09.14+00,647fda000000aa92,23.8
2023-05-24 16:34:09.139+00,647fda000000aa92,23.8
2023-05-24 16:49:09.138+00,647fda000000aa92,23.7
2023-05-24 17:04:09.138+00,647fda000000aa92,23.8
2023-05-24 17:19:09.137+00,647fda000000aa92,23.8
2023-05-24 17:34:09.136+00,647fda000000aa92,23.8
2023-05-24 17:49:09.135+00,647fda000000aa92,23.8
2023-05-24 18:04:09.135+00,647fda000000aa92,23.8
2023-05-24 18:19:09.134+00,647fda000000aa92,23.7
2023-05-24 18:34:09.134+00,647fda000000aa92,23.8
2023-05-24 18:49:09.133+00,647fda000000aa92,23.6
2023-05-24 19:04:09.132+00,647fda000000aa92,23.7
2023-05-24 19:19:09.132+00,647fda000000aa92,23.7
2023-05-24 19:34:09.13+00,647fda000000aa92,23.6
2023-05-24 19:49:09.13+00,647fda000000aa92,23.6
2023-05-24 20:04:09.13+00,647fda000000aa92,23.6
2023-05-24 20:19:09.129+00,647fda000000aa92,23.6
2023-05-24 20:34:09.127+00,647fda000000aa92,23.5
2023-05-24 20:49:09.127+00,647fda000000aa92,23.5
2023-05-24 21:04:09.126+00,647fda000000aa92,23.5
2023-05-24 21:34:09.125+00,647fda000000aa92,23.4
2023-05-24 21:49:09.123+00,647fda000000aa92,23.4
2023-05-24 22:04:09.123+00,647fda000000aa92,23.4
2023-05-24 22:19:09.123+00,647fda000000aa92,23.3
2023-05-24 22:34:09.122+00,647fda000000aa92,23.3
2023-05-24 22:49:09.122+00,647fda000000aa92,23.2
2023-05-24 23:19:09.12+00,647fda000000aa92,23.1
2023-05-24 23:34:09.125+00,647fda000000aa92,23.1
2023-05-24 23:49:09.123+00,647fda000000aa92,23.1
2023-05-25 00:04:09.118+00,647fda000000aa92,23.1
2023-05-25 00:19:09.117+00,647fda000000aa92,23.0
2023-05-25 00:34:09.116+00,647fda000000aa92,23.1
2023-05-25 00:49:09.115+00,647fda000000aa92,23.0
2023-05-25 01:04:09.116+00,647fda000000aa92,23.0
2023-05-25 01:19:09.114+00,647fda000000aa92,23.0
2023-05-25 01:34:09.114+00,647fda000000aa92,22.9
2023-05-25 01:49:09.113+00,647fda000000aa92,22.9
2023-05-25 02:04:09.112+00,647fda000000aa92,22.9
2023-05-25 02:19:09.112+00,647fda000000aa92,22.8
